alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
0,1e-4,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,1.3257113655901095e-4,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,1.7575106248547912e-4,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,2.3299518105153718e-4,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,3.0888435964774815e-4,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,4.0949150623804275e-4,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,5.428675439323859e-4,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,7.196856730011522e-4,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,9.540954763499944e-4,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.0012648552168552957,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.0016768329368110084,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.0022229964825261957,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.0029470517025518097,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.003906939937054617,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.005179474679231213,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.006866488450042998,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.009102981779915217,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.012067926406393288,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.015998587196060572,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.021209508879201904,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.028117686979742307,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.03727593720314938,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.04941713361323833,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.0655128556859551,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.08685113737513521,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.1151395399326447,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.15264179671752334,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.20235896477251575,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.2682695795279725,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.35564803062231287,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.47148663634573945,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.6250551925273969,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,0.8286427728546842,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,1.0985411419875573,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,1.4563484775012443,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,1.9306977288832496,0.7219345238095239,0.6772222222222223,0.65,0.09158621185480809,0.13220490860812356,0.14257785198813672
0,2.559547922699533,0.7225595238095239,0.6772222222222223,0.65,0.09172784944399458,0.13220490860812356,0.14257785198813672
0,3.39322177189533,0.725813492063492,0.6772222222222223,0.645,0.09509738221886306,0.13220490860812356,0.14564978731264144
0,4.498432668969444,0.7251190476190478,0.6722222222222223,0.65,0.09366577893361225,0.1457782082762388,0.14257785198813672
0,5.963623316594637,0.7225892857142857,0.6766666666666669,0.6557142857142857,0.09529456884592985,0.14728772127881595,0.14802052739607519
0,7.9060432109077015,0.7263988095238095,0.6861111111111113,0.6557142857142857,0.09570335243465057,0.15641709172709398,0.14802052739607519
0,10.481131341546853,0.7269543650793651,0.6861111111111113,0.6507142857142857,0.09331474092377906,0.16453107077700793,0.15955934216920484
0,13.89495494373136,0.7271230158730159,0.6950000000000002,0.6407142857142857,0.09443908733201788,0.1679388177344881,0.1649024397207341
0,18.420699693267164,0.7304265873015874,0.708888888888889,0.6299999999999999,0.09287653363348392,0.17022059640457504,0.16572223913590384
0,24.420530945486497,0.7333333333333334,0.7183333333333334,0.6249999999999999,0.09388454610843579,0.17186716686228198,0.17158970601666157
0,32.3745754281764,0.7328670634920635,0.733888888888889,0.6199999999999999,0.09652101318182779,0.1688552293456328,0.1734013472003155
0,42.91934260128778,0.7321726190476191,0.738888888888889,0.6199999999999999,0.0993199147438286,0.1593695785005417,0.1734013472003155
0,56.89866029018293,0.7339980158730159,0.7533333333333334,0.6092857142857142,0.09975447740971456,0.15389323432827212,0.17399798165222383
0,75.43120063354607,0.7358134920634921,0.7777777777777779,0.6092857142857142,0.0987504508991697,0.13684843753571713,0.17399798165222383
0,100,0.7364384920634922,0.8061111111111111,0.565,0.09817063628574647,0.12177422102132204,0.17608990050887216
0.1,1e-4,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,1.3257113655901095e-4,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,1.7575106248547912e-4,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,2.3299518105153718e-4,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,3.0888435964774815e-4,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,4.0949150623804275e-4,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,5.428675439323859e-4,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,7.196856730011522e-4,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,9.540954763499944e-4,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.0012648552168552957,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.0016768329368110084,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.0022229964825261957,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.0029470517025518097,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.003906939937054617,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.005179474679231213,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.006866488450042998,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.009102981779915217,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.012067926406393288,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.015998587196060572,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.021209508879201904,0.6889980158730158,0.6683333333333334,0.6442857142857144,0.09509167808213115,0.14568555122382912,0.1366703479676753
0.1,0.028117686979742307,0.6872619047619049,0.6683333333333334,0.6492857142857144,0.09442845362200049,0.14568555122382912,0.13821320905203882
0.1,0.03727593720314938,0.6871726190476192,0.6727777777777778,0.655,0.09469708424766599,0.15076963050124345,0.13149778198382917
0.1,0.04941713361323833,0.6879662698412699,0.668888888888889,0.655,0.095829476728722,0.15995755609875523,0.12119199643540823
0.1,0.0655128556859551,0.689077380952381,0.663888888888889,0.655,0.09466993830018354,0.15926867973860712,0.12119199643540823
0.1,0.08685113737513521,0.6877281746031746,0.6633333333333334,0.65,0.09360833144867917,0.15607139998412306,0.125
0.1,0.1151395399326447,0.6901984126984128,0.6533333333333334,0.65,0.09467479614609947,0.162341644905988,0.125
0.1,0.15264179671752334,0.6914682539682541,0.6627777777777779,0.6442857142857141,0.09499137447830275,0.1578758009275599,0.13182071415476443
0.1,0.20235896477251575,0.6940277777777779,0.6677777777777778,0.65,0.09538182092440273,0.15017351075783417,0.1316270499255713
0.1,0.2682695795279725,0.6990873015873018,0.6677777777777778,0.6492857142857144,0.09806149305244312,0.15017351075783417,0.13341966805208763
0.1,0.35564803062231287,0.7025099206349207,0.6677777777777778,0.65,0.09695813896005988,0.1535607043409722,0.1393734461186678
0.1,0.47148663634573945,0.711984126984127,0.663888888888889,0.64,0.09322806150824796,0.16705202363582142,0.14540875999400174
0.1,0.6250551925273969,0.7136011904761905,0.6683333333333334,0.6435714285714286,0.09580930752815252,0.16322251531627868,0.1626438400539135
0.1,0.8286427728546842,0.7269543650793651,0.6727777777777778,0.6335714285714285,0.09685742056041312,0.16468146394752883,0.17128900568742805
0.1,1.0985411419875573,0.7308928571428572,0.7055555555555556,0.6085714285714285,0.09827106660590139,0.15636569790552363,0.1725872302368177
0.1,1.4563484775012443,0.7289980158730158,0.7533333333333334,0.5342857142857143,0.09893351102104646,0.15389323432827212,0.17127349136260814
0.1,1.9306977288832496,0.7374503968253968,0.9155555555555557,0.2564285714285714,0.09200862425040827,0.11522477585655533,0.1870658238401114
0.1,2.559547922699533,0.5833035714285714,1,0,0.11035367075123284,0,0
0.1,3.39322177189533,0.5,1,0,0,0,0
0.1,4.498432668969444,0.5,1,0,0,0,0
0.1,5.963623316594637,0.5,1,0,0,0,0
0.1,7.9060432109077015,0.5,1,0,0,0,0
0.1,10.481131341546853,0.5,1,0,0,0,0
0.1,13.89495494373136,0.5,1,0,0,0,0
0.1,18.420699693267164,0.5,1,0,0,0,0
0.1,24.420530945486497,0.5,1,0,0,0,0
0.1,32.3745754281764,0.5,1,0,0,0,0
0.1,42.91934260128778,0.5,1,0,0,0,0
0.1,56.89866029018293,0.5,1,0,0,0,0
0.1,75.43120063354607,0.5,1,0,0,0,0
0.1,100,0.5,1,0,0,0,0
0.2,1e-4,0.6835218253968253,0.6622222222222223,0.6492857142857141,0.09917982553006026,0.15128266745814284,0.13191743965205563
0.2,1.3257113655901095e-4,0.6835218253968253,0.6622222222222223,0.6492857142857141,0.09917982553006026,0.15128266745814284,0.13191743965205563
0.2,1.7575106248547912e-4,0.6835218253968253,0.6622222222222223,0.6492857142857141,0.09917982553006026,0.15128266745814284,0.13191743965205563
0.2,2.3299518105153718e-4,0.6835218253968253,0.6622222222222223,0.6492857142857141,0.09917982553006026,0.15128266745814284,0.13191743965205563
0.2,3.0888435964774815e-4,0.6835218253968253,0.6622222222222223,0.6492857142857141,0.09917982553006026,0.15128266745814284,0.13191743965205563
