alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model,mtry,splitrule,min.node.size
0,10,0.720515873015873,0.6557142857142856,0.6411111111111112,0.07562296120807832,0.14530272761741683,0.1848092248468062,ElasticNet,NA,NA,NA
NA,NA,0.7564087301587302,0.6292857142857142,0.7477777777777779,0.09107257115735803,0.1658632848212668,0.16534390211640157,RandomForest,20,gini,10
