data_source,model,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,auc
Expression,ElasticNet,0.7469146825396826,0.8672222222222223,0.34,0.09244066193158962,0.14367225935091257,0.2096142594269341,0.7147368421052633
Methylation,RandomForest,0.7630059523809526,0.7394444444444445,0.6271428571428571,0.08599796406259522,0.13299291032807298,0.14925409781404905,0.7469597069597078
Multiomic,RandomForest,0.7645238095238096,0.7766666666666667,0.6292857142857142,0.09147948393256354,0.1630057025183412,0.14933953233610764,0.756604010025062
