mtry,splitrule,min.node.size,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
5,gini,1,0.7641468253968254,0.7677777777777779,0.63,0.09778355348821287,0.15447916276441642,0.18539922909672485
5,gini,3,0.7645238095238096,0.7766666666666667,0.6292857142857142,0.09147948393256354,0.1630057025183412,0.14933953233610764
5,gini,5,0.7550694444444446,0.7816666666666667,0.6142857142857142,0.1018864148773366,0.15348740916981612,0.17879450352232848
5,gini,10,0.7568055555555557,0.7766666666666667,0.6128571428571429,0.09717019772925853,0.16216529315647893,0.16613861928018583
5,gini,15,0.7602678571428573,0.7811111111111111,0.6299999999999999,0.09203199248952577,0.1360402309776209,0.17598725409938692
5,gini,20,0.7637500000000002,0.795,0.6299999999999999,0.08938541267393599,0.15242383242576613,0.17224816478589502
10,gini,1,0.754236111111111,0.7288888888888888,0.6349999999999999,0.09565712435410502,0.17673667958141856,0.15405171298011858
10,gini,3,0.7564087301587304,0.7483333333333334,0.645,0.09832757281746397,0.1672597472354526,0.1767255789978034
10,gini,5,0.7566765873015875,0.7522222222222221,0.6307142857142857,0.09754359815378688,0.1682830569094772,0.1670955366469941
10,gini,10,0.7518452380952383,0.7727777777777779,0.6299999999999999,0.09420264835341943,0.1507589680944565,0.17224816478589502
10,gini,15,0.7595634920634922,0.7627777777777779,0.6249999999999999,0.09596216919926194,0.1494761084450782,0.17420250746026067
10,gini,20,0.7544841269841271,0.7705555555555555,0.6249999999999999,0.09920167089663608,0.16033096556348223,0.17790052540331497
20,gini,1,0.7511507936507938,0.7522222222222222,0.645,0.09275389207001611,0.16684404141706285,0.1691974101617462
20,gini,3,0.7589831349206351,0.7383333333333334,0.6407142857142856,0.09719455164992907,0.16035903646546298,0.177775009721931
20,gini,5,0.7550992063492064,0.7705555555555555,0.6149999999999999,0.09518708654367343,0.1579572368811495,0.19171010303435282
20,gini,10,0.757857142857143,0.7427777777777779,0.6349999999999999,0.09912818618088183,0.15502969979629722,0.18828351035634758
20,gini,15,0.7474305555555557,0.7433333333333334,0.6349999999999999,0.09701082776320462,0.1494868623540574,0.17390326891342645
20,gini,20,0.7520039682539682,0.7433333333333334,0.6249999999999999,0.09476132063841021,0.1510912806977314,0.17420250746026067
35,gini,1,0.7520982142857144,0.7705555555555557,0.6457142857142856,0.0969562650332971,0.15039813418201736,0.17164235182138327
35,gini,3,0.7462202380952383,0.737777777777778,0.645,0.09862153708237995,0.17615360510813452,0.1653048101904746
35,gini,5,0.7574603174603176,0.7394444444444446,0.6399999999999999,0.09113376692795759,0.15643147897136536,0.182667312179206
35,gini,10,0.7529464285714288,0.7333333333333334,0.6357142857142857,0.0964367053852578,0.17435027831157912,0.1835612374417771
35,gini,15,0.7417757936507938,0.7438888888888892,0.6349999999999999,0.10025346139773401,0.1591212526511386,0.17011838115101546
35,gini,20,0.7490873015873017,0.728888888888889,0.6399999999999999,0.09532174555923059,0.16859036421263757,0.17164235182138327
50,gini,1,0.7461458333333336,0.7183333333333334,0.645,0.09792436189225934,0.17405129382069656,0.16131830937241906
50,gini,3,0.7467559523809526,0.7416666666666667,0.6407142857142856,0.09365817713031878,0.17085779710412904,0.16642627220974657
50,gini,5,0.7483531746031747,0.7327777777777779,0.6407142857142856,0.09060573724192343,0.17087096845304733,0.17777500972193103
50,gini,10,0.7467063492063493,0.7522222222222225,0.6407142857142856,0.10014303173791245,0.16684404141706288,0.18140021338180942
50,gini,15,0.7499801587301589,0.7377777777777779,0.6407142857142856,0.09037952505154513,0.16405750898737928,0.17777500972193097
50,gini,20,0.7523710317460318,0.7383333333333334,0.6357142857142857,0.09064429033290347,0.14603601435848604,0.17632515766188842
75,gini,1,0.7459821428571428,0.7422222222222223,0.6357142857142857,0.09041289868260896,0.16667052464670598,0.17632515766188842
75,gini,3,0.7475892857142858,0.7194444444444446,0.6407142857142856,0.09598541443195961,0.18223930023856083,0.18844151368961315
75,gini,5,0.7429761904761907,0.7194444444444444,0.6399999999999999,0.09714829339804505,0.18504045270103095,0.1678064766492705
75,gini,10,0.7445138888888891,0.7466666666666667,0.6299999999999999,0.09609741170371124,0.14954921977664232,0.17598725409938692
75,gini,15,0.7530257936507938,0.7183333333333334,0.6557142857142856,0.09011290789764156,0.15924445452290104,0.17007463847693818
75,gini,20,0.7451190476190477,0.7561111111111112,0.6507142857142856,0.09556393919888878,0.15831099582523303,0.16902141815733998
100,gini,1,0.7426785714285716,0.7366666666666667,0.6557142857142856,0.09535452694015424,0.1769348506033356,0.1775656197571137
100,gini,3,0.749543650793651,0.7294444444444446,0.6349999999999999,0.09482460967583675,0.168923759801617,0.17390326891342645
100,gini,5,0.7476785714285715,0.7194444444444446,0.6457142857142856,0.09718773114196172,0.19723526300130362,0.16780647664927054
100,gini,10,0.7491964285714287,0.723888888888889,0.6407142857142856,0.08888599278582639,0.16341936824530767,0.18140021338180945
100,gini,15,0.7530158730158731,0.7194444444444446,0.6407142857142856,0.09464645772409591,0.17356480864032864,0.17777500972193103
100,gini,20,0.7508829365079367,0.7283333333333334,0.6457142857142856,0.0945278123218851,0.17268642636829293,0.17164235182138327
150,gini,1,0.7486507936507937,0.7144444444444445,0.6307142857142857,0.09902565829232841,0.19005799688797612,0.182014427177299
150,gini,3,0.7489484126984128,0.7383333333333334,0.6407142857142856,0.09928744515278637,0.16602306287804536,0.18140021338180945
150,gini,5,0.7478571428571429,0.7233333333333334,0.6557142857142856,0.0942291662453994,0.18822391118224258,0.17386047850617045
150,gini,10,0.7461805555555557,0.7188888888888889,0.6299999999999999,0.09528256947166748,0.1700221632853507,0.17964853725754493
150,gini,15,0.7413492063492064,0.728888888888889,0.6457142857142856,0.09837840482653162,0.16839955609747656,0.17539435644315596
150,gini,20,0.7428670634920636,0.7150000000000002,0.6457142857142856,0.09735882181058551,0.17343138845681197,0.17539435644315596
250,gini,1,0.7511607142857144,0.7283333333333334,0.6357142857142857,0.08999048757460265,0.16744033394645022,0.17997956705643878
250,gini,3,0.7419394841269843,0.7227777777777779,0.6357142857142857,0.09632894682305841,0.16808233640302478,0.17259338889759498
250,gini,5,0.7461309523809524,0.7183333333333334,0.6407142857142856,0.0890393391711139,0.17107029635882526,0.17777500972193103
250,gini,10,0.7461904761904763,0.7044444444444444,0.6299999999999999,0.09149396205165791,0.17847447397340135,0.18323667829369983
250,gini,15,0.7472420634920637,0.728888888888889,0.6357142857142857,0.09221495425612658,0.15744757112868074,0.1835612374417771
