data_source,model,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,auc
Multiomic,RandomForest,0.7645238095238096,0.7766666666666667,0.6292857142857142,0.09147948393256354,0.1630057025183412,0.14933953233610764,0.756604010025062
Methylation,RandomForest,0.7630059523809526,0.7394444444444445,0.6271428571428571,0.08599796406259522,0.13299291032807298,0.14925409781404905,0.7469597069597078
Expression,ElasticNet,0.7469146825396826,0.8672222222222223,0.34,0.09244066193158962,0.14367225935091257,0.2096142594269341,0.7147368421052633
Expression,RandomForest,0.7431448412698414,0.705,0.6507142857142856,0.09190937206260232,0.17692576504694998,0.16902141815733995,0.7217167919799496
Multiomic,ElasticNet,0.7374503968253968,0.9155555555555556,0.2564285714285714,0.09200862425040827,0.11522477585655531,0.1870658238401114,0.6939849624060155
Methylation,ElasticNet,0.7272420634920636,0.725,0.6128571428571429,0.09766962173296947,0.1377849647169734,0.17958936058512528,0.723980463980464
