alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model,mtry,splitrule,min.node.size
0.75,0.20691380811147903,0.745545634920635,0.5564285714285715,0.7533333333333334,0.10661078202291462,0.21544083503681594,0.1887083832516856,ElasticNet,NA,NA,NA
NA,NA,0.732748015873016,0.6228571428571429,0.7094444444444445,0.11985335692586577,0.18372908738417118,0.1367262178295564,RandomForest,150,gini,1
NA,NA,0.7431646825396827,0.6185714285714287,0.6966666666666669,0.1271413421263418,0.19553911173391136,0.11796565204214488,RandomForest,150,gini,5
NA,NA,0.7332539682539684,0.6078571428571429,0.7155555555555557,0.12443068483975533,0.17748778342552515,0.12520045655263265,RandomForest,150,gini,10
