folds,repeats,best_mtry,best_min_node_size,ROC,Sens,Spec,auc,scenario,feature_count,setting
5,5,50,15,0.7683928571428572,0.7411111111111112,0.6285714285714286,0.7550915750915749,feature_count,1500,1500 probes; 5-fold × 5 repeats
5,5,20,10,0.7630059523809526,0.7394444444444445,0.6271428571428571,0.7469597069597078,feature_count,2000,2000 probes; 5-fold × 5 repeats
5,5,20,15,0.7571626984126985,0.7544444444444443,0.6121428571428571,0.7407081807081808,feature_count,2500,2500 probes; 5-fold × 5 repeats
3,5,75,1,0.7520146520146519,0.7190476190476189,0.6051282051282051,0.733724053724054,cv_design,2000,2000 probes; 3-fold × 5 repeats
10,3,250,15,0.7509722222222222,0.7083333333333334,0.6083333333333333,0.728395061728395,cv_design,2000,2000 probes; 10-fold × 3 repeats
