mtry,splitrule,min.node.size,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
5,gini,1,0.740203373015873,0.7494444444444445,0.5821428571428572,0.08980393854000925,0.12548004530421292,0.15499067340823258
5,gini,3,0.7413392857142856,0.745,0.6121428571428571,0.08780243327271242,0.13530562873999102,0.15086555825193063
5,gini,5,0.7493055555555556,0.7777777777777779,0.5857142857142857,0.08366661483395242,0.13096615888718183,0.13908716006604668
5,gini,10,0.7438789682539684,0.7433333333333334,0.5821428571428572,0.09295610767510251,0.13478425452362644,0.17096912638506037
5,gini,15,0.7522420634920636,0.7688888888888888,0.5971428571428571,0.0847561506215607,0.12960151811588624,0.1633448732560885
5,gini,20,0.7412698412698413,0.7583333333333334,0.5814285714285714,0.0981191460055156,0.12723061188575274,0.1532735205730055
10,gini,1,0.7425843253968254,0.7438888888888888,0.6078571428571429,0.08446233264681384,0.1312775544268566,0.15665169453714994
10,gini,3,0.7483333333333334,0.7305555555555556,0.5978571428571429,0.0847710586581156,0.12998051056820795,0.15931267121884676
10,gini,5,0.7609523809523812,0.745,0.6028571428571429,0.08246669748549183,0.13429198196375347,0.15807018053000735
10,gini,10,0.7474305555555557,0.7538888888888888,0.5957142857142856,0.09154798264046032,0.13240174165552215,0.13060153216590392
10,gini,15,0.7545337301587303,0.7444444444444445,0.6021428571428571,0.08917114930936237,0.1357279186506393,0.13594904507624486
10,gini,20,0.7524305555555556,0.7538888888888888,0.6121428571428571,0.0936432092424763,0.1334297490906238,0.14648663192705788
20,gini,1,0.7536656746031747,0.7444444444444445,0.6221428571428571,0.09205731122517818,0.1367309206076144,0.14393935325325727
20,gini,3,0.7579861111111112,0.745,0.6164285714285714,0.07828182090668015,0.13429198196375347,0.15602620026799355
20,gini,5,0.7533630952380952,0.735,0.6178571428571429,0.087402375992754,0.12337680665243804,0.15326658559028253
20,gini,10,0.7630059523809526,0.7394444444444445,0.6271428571428571,0.08599796406259522,0.13299291032807298,0.14925409781404905
20,gini,15,0.7521924603174603,0.735,0.6121428571428571,0.0821212752293572,0.12960399878883988,0.14784089512752835
20,gini,20,0.7606250000000001,0.7444444444444445,0.5957142857142856,0.07949059240706649,0.1367309206076144,0.14751340305759558
35,gini,1,0.7544196428571429,0.73,0.6064285714285714,0.08840202504319773,0.14170070397204398,0.1551174944190046
35,gini,3,0.7492460317460318,0.745,0.6385714285714286,0.088342070279852,0.13327062568616496,0.1700558881722148
35,gini,5,0.7505853174603174,0.7294444444444445,0.6171428571428571,0.08139909290525525,0.12260566954982674,0.14462080960715362
35,gini,10,0.756656746031746,0.7344444444444445,0.6014285714285714,0.07973182125157242,0.13867576240349028,0.13260456661983921
35,gini,15,0.7510912698412698,0.74,0.6121428571428571,0.08471097629869075,0.1305062948831022,0.1508655582519306
35,gini,20,0.7567460317460319,0.7672222222222222,0.6121428571428571,0.08371953265232383,0.12831759964479084,0.137310475444034
50,gini,1,0.7469295634920635,0.7305555555555556,0.6235714285714287,0.0832749941206244,0.11954399383032738,0.1467946932718929
50,gini,3,0.756031746031746,0.7116666666666667,0.6392857142857143,0.08728945340911082,0.1391363536144287,0.15955268040095488
50,gini,5,0.7626984126984127,0.7294444444444446,0.6171428571428571,0.08113183904245697,0.12148610396580392,0.13531818763478143
