feature,Overall
ENSG00000176619,100
ENSG00000180914,77.65809234168206
ENSG00000130309,59.29304086468446
ENSG00000182481,54.743185764218794
ENSG00000166592,48.66453924845098
ENSG00000170558,42.3016858601088
ENSG00000206527,32.27575342485929
ENSG00000131747,19.130749312441008
ENSG00000167767,17.754240909301895
ENSG00000145681,15.496352298155387
ENSG00000011426,15.201385269289979
ENSG00000099204,13.784439160004045
ENSG00000123416,10.40538636869286
ENSG00000167601,6.868831460583601
ENSG00000075618,5.243887049786194
ENSG00000064666,2.8503912735249988
ENSG00000196616,2.6102689411037048
ENSG00000186847,1.5655182995295627
ENSG00000103257,0.34056179766867434
ENSG00000179914,0
