alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model,mtry,splitrule,min.node.size,data_source
0,0.3359818286283781,0.6361656746031745,0.5207142857142857,0.7622222222222225,0.17415760386009704,0.17973430882474128,0.18061430668077705,ElasticNet,NA,NA,NA,Clinical
NA,NA,0.6481200396825397,0.4792857142857143,0.7622222222222222,0.1824042165057145,0.1892407853237033,0.1575088180952983,RandomForest,2,gini,1,Clinical
0.9,0.20235896477251575,0.7500496031746033,0.5307142857142856,0.8005555555555557,0.10114979057129242,0.20428810771158692,0.133149951051514,ElasticNet,NA,NA,NA,Expression
NA,NA,0.7430753968253968,0.6507142857142856,0.71,0.09274527843490564,0.16902141815733995,0.1771092029034246,RandomForest,250,gini,3,Expression
0,42.91934260128778,0.7272420634920636,0.6128571428571429,0.725,0.09766962173296952,0.17958936058512528,0.1377849647169734,ElasticNet,NA,NA,NA,Methylation
NA,NA,0.7630059523809526,0.6271428571428571,0.7394444444444445,0.08599796406259522,0.14925409781404905,0.13299291032807298,RandomForest,20,gini,10,Methylation
0,100,0.7398611111111112,0.5642857142857143,0.757777777777778,0.0741055187282629,0.1550763746442027,0.12474768774092695,ElasticNet,NA,NA,NA,Multiomic
NA,NA,0.7651785714285714,0.6292857142857142,0.7716666666666667,0.09412610830378794,0.14933953233610764,0.15770057122473924,RandomForest,5,gini,3,Multiomic
