alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model,mtry,splitrule,min.node.size,data_source
0.75,0.20691380811147905,0.745545634920635,0.5564285714285715,0.7533333333333334,0.10661078202291462,0.2154408350368159,0.1887083832516856,ElasticNet,NA,NA,NA,Expression
NA,NA,0.7365922619047618,0.6299999999999999,0.6955555555555557,0.09494545678612468,0.17224816478589502,0.17221288803856802,RandomForest,150,gini,1,Expression
0,2.3357214690901213,0.7220634920634922,0.6535714285714286,0.7350000000000001,0.1054513279125179,0.16341968944395646,0.12557224979148646,ElasticNet,NA,NA,NA,Methylation
NA,NA,0.7643154761904762,0.6442857142857144,0.72,0.08448528599508565,0.15273860557387928,0.1515989877486646,RandomForest,50,gini,10,Methylation
0,10,0.720515873015873,0.6557142857142856,0.6411111111111112,0.07562296120807832,0.14530272761741683,0.1848092248468062,ElasticNet,NA,NA,NA,Multiomic
NA,NA,0.7564087301587302,0.6292857142857142,0.7477777777777779,0.09107257115735803,0.1658632848212668,0.16534390211640157,RandomForest,20,gini,10,Multiomic
