data_source,model,auc,ROC,Sens,Spec
Multiomic,RandomForest,0.7559398496240586,0.7651785714285714,0.6292857142857142,0.7716666666666667
Methylation,RandomForest,0.7469597069597078,0.7630059523809526,0.6271428571428571,0.7394444444444445
Multiomic,ElasticNet,0.7289473684210532,0.7398611111111112,0.5642857142857143,0.757777777777778
Methylation,ElasticNet,0.723980463980464,0.7272420634920636,0.6128571428571429,0.725
Expression,RandomForest,0.7219799498746864,0.7430753968253968,0.6507142857142856,0.71
Expression,ElasticNet,0.7167167919799496,0.7500496031746033,0.5307142857142856,0.8005555555555557
