data_source,model,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,auc
Multiomic,RandomForest,0.7651785714285714,0.6292857142857142,0.7716666666666667,0.09412610830378794,0.14933953233610764,0.15770057122473924,0.7559398496240586
Methylation,RandomForest,0.7630059523809526,0.6271428571428571,0.7394444444444445,0.08599796406259522,0.14925409781404905,0.13299291032807298,0.7469597069597078
Multiomic,ElasticNet,0.7398611111111112,0.5642857142857143,0.757777777777778,0.0741055187282629,0.1550763746442027,0.12474768774092695,0.7289473684210532
Methylation,ElasticNet,0.7272420634920636,0.6128571428571429,0.725,0.09766962173296952,0.17958936058512528,0.1377849647169734,0.723980463980464
Expression,RandomForest,0.7430753968253968,0.6507142857142856,0.71,0.09274527843490564,0.16902141815733995,0.1771092029034246,0.7219799498746864
Expression,ElasticNet,0.7500496031746033,0.5307142857142856,0.8005555555555557,0.10114979057129242,0.20428810771158692,0.133149951051514,0.7167167919799496
