gene,skewness,abs_skewness
ENSG00000235118,9.273618495495754,9.273618495495754
ENSG00000274996,9.273618495495748,9.273618495495748
ENSG00000229928,9.273618495495718,9.273618495495718
ENSG00000249811,9.273618495495718,9.273618495495718
ENSG00000285927,9.273618495495718,9.273618495495718
ENSG00000285963,9.273618495495718,9.273618495495718
ENSG00000243059,9.273618495495718,9.273618495495718
ENSG00000228210,9.273618495495718,9.273618495495718
ENSG00000223457,9.273618495495718,9.273618495495718
ENSG00000228860,9.273618495495718,9.273618495495718
ENSG00000225856,9.273618495495718,9.273618495495718
ENSG00000254841,9.273618495495718,9.273618495495718
ENSG00000243489,9.273618495495718,9.273618495495718
ENSG00000267137,9.273618495495718,9.273618495495718
ENSG00000277997,9.273618495495718,9.273618495495718
ENSG00000226668,9.273618495495718,9.273618495495718
ENSG00000273659,9.273618495495718,9.273618495495718
ENSG00000239030,9.273618495495718,9.273618495495718
ENSG00000200406,9.273618495495718,9.273618495495718
ENSG00000225653,9.273618495495718,9.273618495495718
ENSG00000273228,9.273618495495718,9.273618495495718
ENSG00000223772,9.273618495495718,9.273618495495718
ENSG00000272436,9.273618495495718,9.273618495495718
ENSG00000265499,9.273618495495718,9.273618495495718
ENSG00000249531,9.273618495495718,9.273618495495718
ENSG00000222150,9.273618495495718,9.273618495495718
ENSG00000200411,9.273618495495718,9.273618495495718
ENSG00000201114,9.273618495495716,9.273618495495716
ENSG00000274293,9.273618495495716,9.273618495495716
ENSG00000237173,9.273618495495716,9.273618495495716
ENSG00000199469,9.273618495495716,9.273618495495716
ENSG00000267791,9.273618495495716,9.273618495495716
ENSG00000225443,9.273618495495716,9.273618495495716
ENSG00000262384,9.273618495495716,9.273618495495716
ENSG00000200224,9.273618495495716,9.273618495495716
ENSG00000112462,9.273618495495716,9.273618495495716
ENSG00000173679,9.273618495495716,9.273618495495716
ENSG00000258855,9.273618495495716,9.273618495495716
ENSG00000268326,9.273618495495716,9.273618495495716
ENSG00000207132,9.273618495495716,9.273618495495716
ENSG00000222831,9.273618495495716,9.273618495495716
ENSG00000276206,9.273618495495716,9.273618495495716
ENSG00000252325,9.273618495495716,9.273618495495716
ENSG00000283524,9.273618495495716,9.273618495495716
ENSG00000206724,9.273618495495716,9.273618495495716
ENSG00000252807,9.273618495495716,9.273618495495716
ENSG00000248448,9.273618495495716,9.273618495495716
ENSG00000283481,9.273618495495716,9.273618495495716
ENSG00000236832,9.273618495495716,9.273618495495716
ENSG00000207713,9.273618495495716,9.273618495495716
ENSG00000215380,9.273618495495715,9.273618495495715
ENSG00000252533,9.273618495495715,9.273618495495715
ENSG00000233907,9.273618495495715,9.273618495495715
ENSG00000251588,9.273618495495715,9.273618495495715
ENSG00000263988,9.273618495495715,9.273618495495715
ENSG00000231722,9.273618495495715,9.273618495495715
ENSG00000207300,9.273618495495715,9.273618495495715
ENSG00000270395,9.273618495495715,9.273618495495715
ENSG00000244033,9.273618495495715,9.273618495495715
ENSG00000199790,9.273618495495715,9.273618495495715
ENSG00000214067,9.273618495495715,9.273618495495715
ENSG00000202241,9.273618495495715,9.273618495495715
ENSG00000249226,9.273618495495715,9.273618495495715
ENSG00000229440,9.273618495495715,9.273618495495715
ENSG00000235518,9.273618495495715,9.273618495495715
ENSG00000223215,9.273618495495715,9.273618495495715
ENSG00000201846,9.273618495495715,9.273618495495715
ENSG00000202377,9.273618495495715,9.273618495495715
ENSG00000230276,9.273618495495713,9.273618495495713
ENSG00000287251,9.273618495495713,9.273618495495713
ENSG00000284163,-9.273618495495713,9.273618495495713
