data_source,alpha,lambda,ROC,Sens,Spec,ROCSD,SensSD,SpecSD
Expression,0.1,1.9306977288832496,0.7469146825396826,0.8672222222222223,0.34,0.09244066193158962,0.14367225935091255,0.2096142594269341
Methylation,0,42.91934260128778,0.7272420634920636,0.725,0.6128571428571429,0.09766962173296949,0.1377849647169734,0.17958936058512528
Multiomic,0.1,1.9306977288832496,0.7374503968253968,0.9155555555555557,0.2564285714285714,0.09200862425040827,0.11522477585655533,0.1870658238401114
