File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
642ad708-26c2-449f-9b2b-7bc770b5156e	d04e55d1-2db1-4e22-9b7d-90642140df8d.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-3U-A98H	TCGA-3U-A98H-01A	Tumor	Primary	Solid Tissue	OCT
e4bd4a64-f9a7-4f6f-941c-f821bcd652f7	abbfb572-b8a7-4fdd-98c1-53ab3901a380.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-LK-A4O7	TCGA-LK-A4O7-01A	Tumor	Primary	Solid Tissue	OCT
c49ed7e2-8181-4a10-8de5-e8610286fba1	c1b1492a-1187-417a-b680-f9ac5dc3b5e9.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A8AI	TCGA-TS-A8AI-01A	Tumor	Primary	Solid Tissue	OCT
a04eea95-e940-44fe-827b-39e60af0e1dd	20109811-2d53-4806-90ee-ee47fcdbc816.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7P8	TCGA-TS-A7P8-01A	Tumor	Primary	Solid Tissue	OCT
d815367e-b767-4b05-ad0e-969d79ab7013	17e1c4b3-8480-4487-b042-a07faae1669e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UD-AABZ	TCGA-UD-AABZ-01A	Tumor	Primary	Solid Tissue	OCT
9fe74b7a-0236-4a9b-b89b-31a548a74365	66c00e98-dbd8-42a9-8456-7d4be0a10e15.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UD-AAC6	TCGA-UD-AAC6-01A	Tumor	Primary	Solid Tissue	OCT
eec11a0a-0882-458c-a06f-d7b3710609bd	3f906e0c-1ef7-44f7-956e-b8c35ca222b6.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-UT-A88G	TCGA-UT-A88G-01B	Tumor	Primary	Solid Tissue	OCT
ea076312-5925-41b3-81c9-66ef1f5fa630	d248a79d-c0ae-4ccf-a467-c848fe692d54.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-LK-A4O5	TCGA-LK-A4O5-01A	Tumor	Primary	Solid Tissue	OCT
d8811968-b05f-4327-aad7-0a22071e6316	248c171e-b663-40c5-9ef7-2f13b645c67b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-ZN-A9VS	TCGA-ZN-A9VS-01A	Tumor	Primary	Solid Tissue	OCT
6026b76c-98e8-4761-afcc-78297250d637	f5edf8db-0464-4d7f-8340-6ac18371e5f7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-MESO	TCGA-TS-A7P6	TCGA-TS-A7P6-01A	Tumor	Primary	Solid Tissue	OCT
